local_authority,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Camden,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
City of London,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
Hackney,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hammersmith and Fulham,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Haringey,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Islington,E09000019,75,1005,7.6,1591.5,34.6,580.6,698.7,736.7,769.6,895.4,1159.2,1329.8,1494.7,1644.3,x
Kensington and Chelsea,E09000020,39,1022.6,3.3,1733.3,9.4,576.7,679.6,728.3,764.3,888.5,1199.9,x,x,x,x
Lambeth,E09000022,120,946.6,5.5,1154.8,7.5,576.6,661.2,689.9,731.7,842,1039.1,1237.7,1309.6,1419.4,x
Lewisham,E09000023,104,891.8,6.3,1075.6,1.4,569,628.1,668.5,691.2,790,1021.4,1226.6,1290,1411,x
Newham,E09000025,106,822.2,8.4,1014.9,11.1,524.6,596.4,626.9,663.1,732.8,946.4,1054.2,1178.3,1305.9,x
Southwark,E09000028,119,939.9,6.5,1160.7,9.2,559.2,648.3,683.8,734.1,843.1,1063.4,1236.9,1320.7,1482,x
Tower Hamlets,E09000030,106,996.6,12.3,1242.1,11.5,576.9,676.9,720.7,761.1,869.1,1131.9,1315.5,1427.1,1629,x
Wandsworth,E09000032,117,1016.6,9.8,1345.2,14.3,590,670.8,731.8,792.9,891.2,1184.1,1413.1,1556.7,1770.9,x
Westminster,E09000033,61,1015.5,6,1385.2,-7.8,577.1,642.2,706.8,728.3,869.6,1164.5,1341.6,1502.9,1759.2,x
Barking and Dagenham,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barnet,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Bexley,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Brent,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Bromley,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Croydon,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Ealing,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Enfield,E09000010,83,865.1,3.1,1020.5,-13.3,547.1,617.2,646.9,703.1,789.7,976.6,1092.4,1205.9,1300.6,x
Greenwich,E09000011,105,902.8,5.5,1145.1,11.9,555.8,618,656.7,700.2,790.5,1039.9,1186.8,1266.6,1389.7,x
Harrow,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Havering,E09000016,78,895.8,8.7,1007.7,4.8,524.8,633.8,670.6,711.6,802.7,1001.3,1116.6,1190.4,1286,x
Hillingdon,E09000017,94,806.8,0.3,981.3,3.9,517.5,594.3,624.8,651.1,726.3,922.6,1063.5,1186.9,1298.4,1629
Hounslow,E09000018,84,807.5,5.3,1012.4,6.9,533.8,605.4,634.2,670.8,733.7,891.9,1053.1,1154.5,1254.2,x
Kingston upon Thames,E09000021,52,953.2,12.9,1173.9,10.1,525.2,630.8,680.4,734.4,845.2,1069.3,1265.5,1375.3,1442.8,x
Merton,E09000024,74,994.3,12.8,1232,10.6,563.8,651.7,691.9,745.7,853.3,1111,1263.2,1437.4,1653.7,x
Redbridge,E09000026,76,862.4,5.2,1079,3.1,537.4,597.3,646.1,675,765.8,991.2,1139.4,1248.9,1403.2,x
Richmond upon Thames,E09000027,55,1056.6,10,1445.8,2.7,572.8,650,705.7,749.1,888.1,1254,1525.9,1614.2,1931.3,x
Sutton,E09000029,69,852,-0.1,1042.3,5,520.4,616.6,641.6,679.4,767.4,940.8,1104.7,1193.3,1327.4,x
Waltham Forest,E09000031,80,900.8,7.3,1061.9,9,539.1,613.1,659.9,710.6,799.5,1014.9,1184.7,1253.9,1335.2,x
