borough,bedroom_category,rent_count,rent_mean_gbp,rent_lower_quartile_gbp,rent_median_gbp,rent_upper_quartile_gbp,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Barking and Dagenham,Room,-,..,..,..,..,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barking and Dagenham,Studio,-,..,..,..,..,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barking and Dagenham,One Bedroom,160,1271,1200,1300,1350,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barking and Dagenham,Two Bedrooms,250,1557,1400,1550,1750,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barking and Dagenham,Three Bedrooms,160,1890,1700,1900,2100,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barking and Dagenham,Four or More Bedrooms,20,2465,2350,2500,2525,E09000002,59,754.1,1.2,832.3,0.3,497.2,567.8,599.5,631.9,703.8,826.2,920.3,969,1040.6,x
Barnet,Room,10,798,686,721,862,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Barnet,Studio,110,1111,1006,1113,1200,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Barnet,One Bedroom,710,1454,1300,1440,1600,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Barnet,Two Bedrooms,1210,1758,1550,1710,1950,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Barnet,Three Bedrooms,430,2385,2050,2300,2650,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Barnet,Four or More Bedrooms,170,3330,2800,3172,3613,E09000003,109,905.4,5,1113.8,10.9,562,622.4,669.1,697.6,801.2,1003.5,1168.7,1302,1436.7,x
Bexley,Room,10,877,750,938,1000,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Bexley,Studio,10,1040,..,1000,..,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Bexley,One Bedroom,150,1233,1100,1250,1350,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Bexley,Two Bedrooms,270,1557,1400,1600,1700,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Bexley,Three Bedrooms,210,1882,1700,1900,2100,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Bexley,Four or More Bedrooms,40,2338,2096,2350,2585,E09000004,77,889.1,4.7,1020.1,7,552.1,631.1,670.7,697.6,782.1,996.4,1136.1,1188.2,1259.5,x
Brent,Room,70,848,694,826,950,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Brent,Studio,120,1341,1000,1213,1804,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Brent,One Bedroom,520,1766,1500,1750,1950,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Brent,Two Bedrooms,690,2158,1850,2100,2450,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Brent,Three Bedrooms,270,2487,2100,2400,2700,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Brent,Four or More Bedrooms,100,3432,2505,3000,3950,E09000005,100,786.2,5.1,968.4,1.4,513.5,569.3,604.4,643.8,708.4,886.3,1018.4,1138,1243.1,x
Bromley,Room,20,705,676,722,781,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Bromley,Studio,50,983,905,975,1050,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Bromley,One Bedroom,790,1267,1150,1300,1400,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Bromley,Two Bedrooms,1140,1597,1450,1600,1750,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Bromley,Three Bedrooms,490,1988,1726,1950,2200,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Bromley,Four or More Bedrooms,200,2679,2155,2500,2875,E09000006,105,964.5,0.6,1253.9,8.3,569.4,661.6,711.2,761.3,869.4,1094.7,1281.3,1442.3,1630.4,x
Camden,Room,20,949,861,960,1036,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,Studio,50,1573,1365,1650,1800,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,One Bedroom,310,2094,1750,2000,2350,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,Two Bedrooms,330,2753,2200,2600,3150,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,Three Bedrooms,150,3475,2768,3325,4000,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
Camden,Four or More Bedrooms,50,5103,3750,4350,5490,E09000007,70,1032.4,17.6,1340.5,7.9,574.4,663.9,725,765.9,891.7,1185.3,1378.4,1517.1,1672.7,x
City of London,Room,-,..,..,..,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Studio,10,2134,1688,1950,2588,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,One Bedroom,80,2343,2050,2250,2600,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Two Bedrooms,50,3080,2805,3000,3288,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Three Bedrooms,10,4561,..,4700,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
City of London,Four or More Bedrooms,-,..,..,..,..,E09000001,x,x,,1804.1,25,x,x,x,x,x,x,x,x,x,x
Croydon,Room,40,686,551,712,817,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Studio,70,1040,969,1050,1108,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,One Bedroom,520,1207,1100,1200,1300,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Two Bedrooms,800,1532,1400,1500,1650,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Three Bedrooms,340,1909,1699,1900,2150,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Croydon,Four or More Bedrooms,120,2482,2150,2438,2700,E09000008,132,855.7,2.7,969.8,1.2,552.2,620,650.7,682.9,758.1,933.1,1084.3,1149.7,1234.8,1524.7
Ealing,Room,140,840,726,826,916,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
Ealing,Studio,60,1313,1150,1350,1450,E09000009,112,808.1,2.1,1021.2,7.2,520.3,579.4,613.5,649.8,736.3,920.9,1061.6,1149.9,1284.1,x
