borough,rent_median_gbp,median_weekly_pay_gross_gbp,monthly_earnings_proxy_gbp,rent_pressure_proxy,predicted_rent_gbp,rent_residual_gbp
Westminster,2600,1015.5,4400.5,0.5908419497784343,1846.365289113125,753.6347108868749
Kensington and Chelsea,2394,1022.6,4431.266666666667,0.5402518467255412,1864.07036472471,529.9296352752899
Brent,1750,786.2,3406.866666666667,0.5136684734751384,1274.56615703758,475.43384296241993
Hackney,2000,959.3,4156.966666666666,0.4811200474705114,1706.2208877932576,293.7791122067424
Hammersmith and Fulham,1869,917.3,3974.9666666666667,0.47019262216035357,1601.4866376965592,267.5133623034408
Ealing,1550,808.1,3501.766666666667,0.44263371821842307,1329.177587445144,220.8224125548561
Islington,2000,1005.0,4355.0,0.4592422502870264,1820.1817265889504,179.81827341104963
Hounslow,1500,807.5,3499.1666666666665,0.42867349368897356,1327.681383872334,172.31861612766602
Newham,1500,822.2,3562.866666666667,0.42100929962764067,1364.3383714061783,135.66162859382166
Camden,2000,1032.4,4473.733333333334,0.44705391470211303,1888.5083564139395,111.49164358606049
Barking and Dagenham,1300,754.1,3267.766666666667,0.39782522211908233,1194.5192658922463,105.48073410775373
Tower Hamlets,1860,996.6,4318.6,0.43069513268188764,1799.234876569611,60.76512343038894
Southwark,1712,939.9,4072.8999999999996,0.42033931596651036,1657.8436389390681,54.156361060931886
Haringey,1600,900.8,3903.4666666666667,0.40989206175707066,1560.341039444285,39.65896055571511
Lambeth,1700,946.6,4101.933333333333,0.4144387199531928,1674.551245502113,25.448754497886966
Hillingdon,1300,806.8,3496.133333333333,0.37183936539414975,1325.935813037389,-25.935813037388925
Greenwich,1525,902.8,3912.133333333333,0.3898128898128898,1565.328384686985,-40.32838468698492
Wandsworth,1750,1016.6,4405.266666666667,0.39725177439125886,1849.10832899661,-99.10832899661
Harrow,1400,880.0,3813.3333333333335,0.36713286713286714,1508.4726489202058,-108.47264892020576
Redbridge,1350,862.4,3737.066666666666,0.3612458969601827,1464.5840107844465,-114.58401078444649
Barnet,1440,905.4,3923.3999999999996,0.36702859764489987,1571.8119335024949,-131.81193350249487
Lewisham,1400,891.8,3864.4666666666667,0.3622750875498128,1537.8979858521352,-137.8979858521352
Waltham Forest,1400,900.8,3903.4666666666667,0.3586555540374368,1560.341039444285,-160.3410394442849
Enfield,1300,865.1,3748.766666666667,0.346780718992024,1471.3169268620913,-171.31692686209135
Sutton,1209,852.0,3692.0,0.3274647887323944,1438.6498155224072,-229.64981552240715
Croydon,1200,855.7,3708.0333333333333,0.3236216862487752,1447.876404221402,-247.87640422140203
Merton,1523,994.3,4308.633333333333,0.35347635367750024,1793.4994295405058,-270.49942954050584
Bexley,1250,889.1,3852.766666666667,0.3244421757524895,1531.1650697744903,-281.16506977449035
Kingston upon Thames,1400,953.2,4130.533333333334,0.3389392814487233,1691.009484803023,-291.00948480302304
Havering,1250,895.8,3881.7999999999997,0.32201555979184915,1547.8726763375353,-297.87267633753527
Richmond upon Thames,1550,1056.6,4578.599999999999,0.33853142882103704,1948.8552338506083,-398.85523385060833
Bromley,1300,964.5,4179.5,0.3110419906687403,1719.1879854242775,-419.1879854242775
